Name,Adress,Zip,Grade,Score,Latitude,Longitude,Coordinates
LHCF - SUNNY VIEW RETIREMENT COMMUNITY,"22445 CUPERTINO RD,CUPERTINO, CA 95014",95014,Pass,98,37.323988,-122.066758,"(37.323988,-122.066758)"
MARINA FOOD II-CHINESE KITCHEN,"10122 BANDLEY DR ,CUPERTINO, CA 95014",95014,Pass,67,37.324323,-122.033715,"(37.324323,-122.033715)"
LEI GARDEN,"10125 BANDLEY DR ,CUPERTINO, CA 95014",95014,Pass,89,37.324623,-122.034722,"(37.324623,-122.034722)"
SUL & BEANS,"19540 VALLCO PY 160,CUPERTINO, CA 95014",95014,Pass,96,37.32485,-122.010637,"(37.32485,-122.010637)"
BOILING POINT RESTAURANT CUPERTINO,"19600 VALLCO PY UNIT 120,CUPERTINO, CA 95014",95014,Pass,64,37.324991,-122.012628,"(37.324991,-122.012628)"
VPIAPPLE-VP01-ESPRESSO BAR,"19191 VALLCO PY ,CUPERTINO, CA 95014",95014,Pass,100,37.325194,-122.007636,"(37.325194,-122.007636)"
APPLE-BA09-CAFFE MAC,"10250 BANDLEY DR,CUPERTINO, CA 95014",95014,Pass,90,37.325361,-122.034007,"(37.325361,-122.034007)"
QUINLAN COMMUNITY CENTER,"10185 N STELLING RD ,CUPERTINO, CA 95014",95014,Pass,94,37.325806,-122.042419,"(37.325806,-122.042419)"
BOWLMOR LANES CUPERTINO,"10123 N WOLFE RD,CUPERTINO, CA 95014",95014,Pass,69,37.325898,-122.016511,"(37.325898,-122.016511)"
FOOD SERVICES WAREHOUSE,"10301 VISTA DR ,CUPERTINO, CA 95014",95014,Pass,98,37.327237,-122.028131,"(37.327237,-122.028131)"
L.P. COLLINS ELEMENTARY SCHOOL,"10300 N BLANEY AV ,CUPERTINO, CA 95014",95014,Pass,100,37.327368,-122.022727,"(37.327368,-122.022727)"
STEVENS CREEK ELEMENTARY SCHOOL,"10300 AINSWORTH DR,CUPERTINO, CA 95014",95014,Pass,100,37.327651,-122.063806,"(37.327651,-122.063806)"
HYATT HOUSE,"10380 PERIMETER RD,CUPERTINO, CA 95014",95014,Pass,80,37.329094,-122.013614,"(37.329094,-122.013614)"
LAWSON MIDDLE SCHOOL,"10401 VISTA DR,CUPERTINO, CA 95014",95014,Pass,95,37.329526,-122.027883,"(37.329526,-122.027883)"
GARDEN GATE SCHOOL,"10500 ANN ARBOR AV ,CUPERTINO, CA 95014",95014,Pass,98,37.331372,-122.045022,"(37.331372,-122.045022)"
APPLE-IL01-ESPRESSO BAR,"1 INFINITE LP ,CUPERTINO, CA 95014",95014,Pass,95,37.331524,-122.030231,"(37.331524,-122.030231)"
OUTBACK STEAKHOUSE,"20630 VALLEY GREEN DR ,CUPERTINO, CA 95014",95014,Pass,45,37.331562,-122.033189,"(37.331562,-122.033189)"
COURTYARD BY MARRIOTT-10605,"10605 N WOLFE RD,CUPERTINO, CA 95014",95014,Pass,90,37.332194,-122.015466,"(37.332194,-122.015466)"
APPLE-IL04-CAFFE MAC,"4 INFINITE LP ,CUPERTINO, CA 95014",95014,Pass,82,37.332511,-122.028936,"(37.332511,-122.028936)"
APPLE-VG06-ESPRESSO BAR,"20705 VALLEY GREEN DR,CUPERTINO, CA 95014",95014,Pass,97,37.332677,-122.035422,"(37.332677,-122.035422)"
APPLE PARK AVC ESPRESSO BAR (CAFE),"10600 N TANTAU AV,CUPERTINO, CA 95014",95014,Pass,98,37.333334,-122.005276,"(37.333334,-122.005276)"
HILTON GARDEN INN-CUPERTINO,"10741 N WOLFE RD ,CUPERTINO, CA 95014",95014,Pass,90,37.333452,-122.014851,"(37.333452,-122.014851)"
DUKE OF EDINBURGH,"10801 N WOLFE RD ,CUPERTINO, CA 95014",95014,Pass,93,37.334654,-122.014927,"(37.334654,-122.014927)"
APPLE PARK (A1-B2) GM,"1 APPLE PY,CUPERTINO, CA 95014",95014,Pass,87,37.334841,-122.011296,"(37.334841,-122.011296)"
SWEETHONEY DESSERT,"10815 N WOLFE RD UNIT 101B,CUPERTINO, CA 95014",95014,Pass,90,37.335431,-122.01454,"(37.335431,-122.01454)"
SHANGHAI FAMILY RESTAURANT,"10877 N WOLFE RD ,CUPERTINO, CA 95014",95014,Pass,75,37.335506,-122.015197,"(37.335506,-122.015197)"
